Year,Africa_Temperature
194409,-0.13
194410,0.27
194411,0.10
194412,0.27
194501,0.22
194502,-0.56
194503,-0.43
194504,0.26
194505,-0.28
194506,-0.32
194507,-0.02
194508,-0.04
194509,0.00
194510,-0.25
194511,0.19
194512,0.00
194601,0.27
194602,-0.07
194603,0.04
194604,-0.05
194605,0.10
194606,-0.25
194607,-0.26
194608,-0.43
194609,-0.07
194610,0.01
194611,0.39
194612,-0.09
194701,0.13
194702,0.96
194703,0.31
194704,0.07
194705,-0.08
194706,0.08
194707,-0.06
194708,0.06
194709,-0.14
194710,0.09
194711,0.23
194712,0.19
194801,-0.14
194802,0.14
194803,-0.77
194804,-0.33
194805,0.14
194806,-0.27
194807,-0.07
194808,-0.10
194809,-0.32
194810,-0.31
194811,-0.64
194812,-0.33
194901,0.10
194902,-0.85
194903,-0.06
194904,-0.28
194905,0.14
194906,0.22
194907,0.10
194908,-0.01
194909,-0.04
194910,0.02
194911,0.41
194912,0.25
195001,-0.29
195002,-0.49
195003,-0.28
195004,-0.23
195005,-0.39
195006,0.03
195007,-0.23
195008,-0.60
195009,-0.27
195010,-0.61
195011,-0.29
195012,0.02
195101,-0.29
195102,-0.31
195103,0.34
195104,-0.19
195105,-0.05
195106,-0.12
195107,-0.08
195108,0.09
195109,0.01
195110,-0.10
195111,-0.33
195112,-0.66
195201,0.08
195202,-0.24
195203,0.16
195204,-0.09
195205,-0.02
195206,0.24
195207,0.01
195208,-0.15
195209,-0.18
195210,0.09
195211,-0.17
195212,0.25
195301,0.40
195302,0.27
195303,-0.46
195304,-0.09
195305,-0.01
195306,-0.50
195307,-0.36
195308,-0.26
195309,-0.41
195310,-0.13
195311,-0.12
195312,-0.51
195401,-0.33
195402,-0.04
195403,0.01
195404,-0.51
195405,-0.08
195406,-0.48
195407,-0.66
195408,-0.60
195409,-0.31
195410,-0.30
195411,0.04
195412,-0.14
195501,0.39
195502,0.41
195503,0.01
195504,-0.48
195505,-0.09
195506,-0.33
195507,-0.12
195508,-0.31
195509,-0.36
195510,-0.19
195511,0.11
195512,-0.36
195601,-0.43
195602,0.19
195603,-0.22
195604,-0.42
195605,-0.32
195606,-0.35
195607,-0.49
195608,-0.36
195609,-0.52
195610,-0.60
195611,-0.27
195612,-0.63
195701,-0.70
195702,-0.45
195703,-0.40
195704,-0.51
195705,-0.41
195706,-0.33
195707,0.01
195708,0.07
195709,0.27
195710,-0.11
195711,0.51
195712,0.23
195801,0.68
195802,0.07
195803,0.57
195804,0.60
195805,0.18
195806,-0.21
195807,-0.30
195808,-0.24
195809,0.09
195810,-0.07
195811,0.38
195812,0.73
195901,0.23
195902,-0.58
195903,0.01
